Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20151006.Does this look white to you.uNOKWoDtbSk.en.txt,1,880,18.90,80.29,15.86,40.03,880.00,7.73,91.93,52.61,17.95,9.43,1.93,0.23,6.82,0.00,0.45,8.52,5.23,7.73,10.34,6.70,9.66,1.59,19.89,10.00,1.82,2.50,1.14,2.05,3.07,1.93,1.14,0.11,0.45,0.00,9.89,0.00,0.00,0.00,0.00,13.18,2.27,2.05,2.73,3.41,1.25,4.89,20.91,20.23,0.45,0.11,1.82,1.82,0.00,0.00,0.00,3.30,0.57,0.91,0.57,1.02,0.23,1.59,14.32,2.05,8.64,1.82,3.98,3.07,1.02,0.11,0.00,0.00,0.00,0.00,1.82,0.00,0.57,0.45,0.80,0.00,5.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
"20131216.Science Outreach Resources, Channel Update, and 1000 Subscriber celebration!.oa7teFM0Tpo.en.txt",1,240,24.93,86.98,48.89,96.76,240.00,21.67,92.50,55.83,16.67,14.17,5.42,0.42,6.25,1.67,0.42,2.50,5.83,10.83,12.50,7.08,8.75,2.08,20.00,1.67,0.83,0.42,1.25,2.08,5.00,5.00,0.00,0.00,0.00,0.00,17.08,0.00,0.00,2.92,0.00,12.50,1.25,2.08,2.50,4.17,1.67,5.00,1.67,1.25,0.00,0.42,1.67,0.00,0.42,0.00,0.42,6.67,3.33,1.67,1.25,0.83,0.00,4.58,14.58,0.83,13.33,1.67,7.50,3.75,7.92,4.58,0.42,0.00,0.00,0.00,2.50,0.00,0.42,0.42,0.83,0.42,6.67,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,5.83,0.00,0.00
20151222.5 physics experiments for the holidays!.SwTiPRpjtNk.en.txt,1,394,95.31,70.31,48.75,30.03,394.00,14.97,78.93,49.24,9.39,4.31,0.00,0.25,3.05,0.00,1.02,5.08,12.94,15.23,4.57,3.81,7.36,0.51,11.17,4.31,2.54,1.02,1.27,2.79,3.81,2.03,1.78,0.00,0.51,0.51,5.33,0.00,0.25,0.00,0.00,8.88,0.51,2.54,1.02,2.54,0.51,2.79,3.55,1.52,0.51,1.52,3.05,0.25,0.25,0.00,2.28,6.09,0.76,1.52,2.54,1.27,0.25,0.76,7.61,2.28,18.53,3.55,11.17,4.57,0.76,2.03,1.02,0.00,0.25,0.00,0.51,0.00,0.25,0.00,0.25,0.00,3.05,0.00,0.00,0.51,0.00,0.00,0.00,0.51,0.00,2.03,0.00,0.00
20210127.Electric Charge and Light - Physics 101 _ AP Physics 1 Review with Dianna Cowern.RRC4Otb4kJk.en.txt,1,4633,60.86,63.68,47.85,52.06,4633.00,17.87,80.53,54.11,14.61,6.73,2.18,1.55,2.31,0.00,0.69,7.88,9.02,12.24,8.61,6.37,7.55,1.21,15.13,4.10,2.33,2.01,2.83,2.55,2.42,1.90,0.50,0.04,0.04,0.13,6.45,0.00,0.15,0.00,0.06,12.61,2.24,2.59,1.62,2.78,1.71,3.39,2.14,1.30,0.41,0.37,0.28,0.11,0.15,0.06,0.02,6.26,1.77,0.43,2.96,1.14,0.13,2.18,11.61,1.47,14.48,2.53,8.57,3.52,1.47,0.58,0.11,0.06,0.00,0.00,1.19,0.04,0.65,0.45,0.22,0.02,3.09,0.00,0.00,0.04,0.00,0.00,0.00,0.24,0.00,2.81,0.00,0.00
20190409.The HIDDEN Magnets in Your Phone ft. MKBHD.HodWkE0G28M.en.txt,1,1301,42.29,67.48,43.78,70.60,1301.00,11.99,86.40,55.65,17.29,8.53,2.92,0.46,3.46,0.00,1.69,8.76,7.38,12.07,8.99,8.38,7.07,1.38,17.22,4.53,3.31,2.54,1.61,2.31,3.92,3.15,0.77,0.15,0.15,0.08,8.07,0.00,0.15,0.23,0.23,11.99,2.54,2.46,1.31,2.46,1.15,3.15,4.30,2.61,0.92,0.46,0.31,0.00,0.15,0.00,0.08,4.38,0.61,0.54,2.00,1.46,0.00,2.38,12.61,1.38,12.76,1.54,8.92,2.61,2.15,0.77,0.15,0.38,0.00,0.00,3.23,0.00,0.61,1.84,0.92,0.08,4.69,0.00,0.00,0.15,0.00,0.00,0.00,0.23,0.00,4.00,0.00,0.31
20170316.Why Hawaii's volcano is so UNUSUAL.k0tnqPmwWvk.en.txt,1,1498,53.21,75.63,36.26,48.03,1498.00,15.89,82.04,55.67,15.35,5.81,1.07,1.60,2.40,0.00,0.73,9.55,9.15,12.22,9.81,6.48,8.81,0.73,16.89,4.81,3.27,1.94,1.34,2.07,2.40,1.80,0.60,0.07,0.20,0.07,6.81,0.07,0.07,0.07,0.07,10.15,2.34,1.54,1.34,3.00,1.00,2.07,2.67,1.27,0.20,1.13,0.47,0.27,0.00,0.00,0.13,5.21,2.00,0.20,2.34,0.67,0.07,2.67,11.82,1.20,14.75,2.00,9.41,3.40,0.80,1.27,0.13,0.00,0.00,0.13,1.67,0.00,0.00,1.27,0.40,0.00,4.74,0.00,0.00,0.13,0.00,0.00,0.00,0.07,0.00,4.27,0.00,0.27
20161110.Can explosions work in space.5eW1ah2ah0o.en.txt,1,935,64.01,62.59,62.36,11.81,935.00,19.25,83.74,53.05,12.51,5.56,0.53,0.86,3.42,0.00,0.75,6.95,7.91,13.90,9.09,5.88,7.91,2.35,15.83,6.10,3.21,1.93,1.07,2.78,5.78,2.35,3.42,0.53,1.50,0.53,7.27,0.00,0.00,0.11,0.00,11.87,1.07,1.71,2.03,3.10,0.75,5.45,3.42,0.64,1.82,0.75,0.32,0.21,0.00,0.00,0.11,7.17,1.18,1.60,3.42,1.50,0.21,1.50,11.66,1.28,17.86,4.28,10.91,3.10,0.75,0.64,0.11,0.11,0.00,0.11,0.96,0.00,0.21,0.32,0.21,0.11,5.35,0.00,0.00,0.21,0.00,0.00,0.00,0.43,0.00,4.49,0.00,0.21
20171013.Can you solve the MAGNET RIDDLE ft YouTube CEO Susan Wojcicki.oq6HFcFS2IE.en.txt,1,1475,33.15,68.72,59.48,90.58,1475.00,10.44,92.54,60.27,19.80,12.41,5.56,1.15,3.66,0.68,1.36,7.39,5.90,13.22,10.85,7.05,6.98,1.49,18.58,2.64,2.64,1.42,1.36,3.05,4.75,4.34,0.41,0.00,0.20,0.00,10.51,0.81,0.00,1.29,0.27,13.22,2.85,1.49,2.17,3.19,1.42,3.39,2.58,1.29,0.54,0.75,0.95,0.20,0.07,0.00,0.61,5.15,2.10,1.02,1.42,1.22,0.00,2.58,13.83,1.15,13.49,2.44,8.14,2.71,1.63,1.15,0.41,0.07,0.00,0.00,4.41,0.00,0.47,3.46,0.75,0.00,4.20,0.00,0.00,0.14,0.00,0.00,0.00,0.20,0.00,3.59,0.00,0.27
20140606.What is Dark Matter A Mystery of the Universe.XCwWxrx1SIU.en.txt,1,1026,29.57,82.03,32.20,29.02,1026.00,14.42,85.96,57.31,15.98,7.89,1.07,3.22,2.44,0.29,0.88,8.09,7.50,10.43,11.79,8.28,7.89,2.44,19.10,4.48,2.34,3.22,1.56,3.22,4.29,2.24,2.05,0.00,0.19,0.49,10.53,0.00,0.19,0.19,0.29,15.20,2.92,2.73,2.05,4.39,1.85,3.51,5.75,5.56,0.10,0.00,0.39,0.00,0.29,0.00,0.10,7.80,4.39,0.39,2.53,0.29,0.29,1.75,14.72,2.73,13.06,2.34,7.60,3.61,0.49,0.29,0.00,0.10,0.10,0.00,1.66,0.00,0.58,0.29,0.88,0.00,5.65,0.00,0.00,0.19,0.00,0.00,0.00,0.19,0.00,4.68,0.00,0.58
20190308.What is a Black Hole - Stephen Hawking's final theory.SdySHadrYAA.en.txt,1,1417,57.96,65.38,66.59,45.20,1417.00,18.49,85.67,53.21,14.18,6.49,0.92,0.99,2.40,1.06,1.13,7.69,8.19,12.84,9.10,6.70,7.34,1.83,17.01,5.58,2.82,1.76,0.56,1.41,3.46,2.26,1.20,0.00,0.56,0.28,7.48,0.00,0.00,0.14,1.20,14.04,3.39,1.91,1.06,3.67,1.83,4.09,4.80,3.25,0.49,0.85,0.49,0.35,0.14,0.00,0.00,5.58,1.20,1.13,2.19,1.20,0.35,2.12,11.86,1.76,17.29,2.96,10.66,3.81,2.40,0.42,0.14,0.21,0.00,0.14,0.92,0.07,0.49,0.07,0.28,0.00,4.45,0.00,0.00,0.14,0.00,0.00,0.00,0.21,0.00,3.95,0.00,0.14
20170621.Strange Unexplained Cosmic Rays (ft PhD Comics).OHofLKUMlI8.en.txt,1,1246,59.52,62.59,48.04,68.20,1246.00,17.82,83.71,54.41,15.81,7.30,3.13,1.61,1.20,0.00,1.36,8.51,7.54,13.64,9.15,6.50,5.86,1.44,16.29,3.61,2.73,1.85,2.01,1.69,3.69,2.97,0.72,0.08,0.00,0.08,6.74,0.16,0.00,0.00,0.24,12.52,3.21,1.93,1.28,4.17,1.12,1.77,2.89,2.01,0.56,0.40,0.48,0.08,0.00,0.00,0.40,5.62,1.85,0.80,2.33,1.12,0.08,4.57,9.71,0.96,13.88,1.93,8.27,4.09,0.80,0.64,0.08,0.16,0.64,0.00,1.20,0.00,0.08,0.32,0.80,0.00,4.09,0.00,0.00,0.16,0.00,0.00,0.00,0.24,0.00,3.45,0.00,0.24
20200904.I WAS THERE! How David Blaine flew helium balloons to the height of jets (and jumped).sMowoWNX8iY.en.txt,1,2020,57.06,63.18,41.77,31.69,1010.00,17.67,83.91,54.65,13.71,7.43,2.52,0.79,2.33,0.99,0.79,6.24,6.53,15.10,9.55,7.33,8.17,1.34,17.48,4.41,3.12,1.88,5.00,1.88,3.22,1.78,1.44,0.69,0.00,0.35,7.03,0.00,0.10,0.05,1.09,11.24,2.23,2.03,1.93,2.57,0.94,2.92,2.03,0.79,0.35,0.64,3.47,2.67,0.64,0.00,0.20,7.08,1.09,1.29,3.37,1.73,0.35,3.81,11.83,1.49,15.00,2.48,9.55,3.76,1.09,0.30,0.10,0.20,0.05,0.30,0.99,0.00,0.15,0.54,0.20,0.10,4.01,0.05,0.00,0.10,0.00,0.00,0.00,0.10,0.00,3.66,0.00,0.10
20191114.Why This Stuff Costs $2700 Trillion Per Gram - Antimatter at CERN.PCuyCJocJWg.en.txt,1,1846,48.41,76.77,25.00,64.79,1846.00,20.21,83.42,54.98,15.66,7.10,1.19,1.95,2.33,0.11,1.52,8.56,7.15,12.95,9.48,7.20,8.07,1.19,16.96,4.77,2.38,2.38,1.73,2.22,3.47,2.76,0.70,0.00,0.16,0.00,8.61,0.11,0.33,0.33,0.33,12.30,2.11,3.03,1.63,2.93,1.19,3.20,2.65,1.63,0.65,0.33,0.11,0.11,0.00,0.00,0.00,6.88,2.49,1.95,1.52,0.92,0.27,2.38,12.78,1.25,12.19,1.84,7.75,2.71,2.17,0.38,0.16,0.65,0.11,0.00,1.46,0.00,0.27,0.54,0.60,0.00,4.39,0.00,0.00,0.11,0.00,0.00,0.00,0.16,0.00,3.90,0.00,0.22
20170203.Can you solve the burning stick riddle ft Simone Giertz part 3_3.VvqajwOOmpM.en.txt,1,1382,36.56,74.27,53.75,71.90,1382.00,11.22,90.52,58.90,19.97,11.22,4.20,1.01,5.28,0.00,0.72,8.76,8.25,11.72,9.99,6.22,8.10,1.45,18.45,4.63,3.69,1.88,2.32,2.82,4.12,3.26,0.80,0.22,0.00,0.22,9.26,0.07,0.07,0.29,0.00,13.02,3.11,2.46,2.53,2.82,1.16,3.40,2.39,0.65,0.29,1.30,2.17,0.36,0.07,0.00,1.59,5.86,1.59,1.01,1.95,1.59,0.22,2.10,12.88,1.66,13.39,2.17,7.09,4.49,1.16,1.37,0.07,0.29,0.00,0.07,2.75,0.00,0.43,1.74,0.87,0.00,5.21,0.00,0.00,0.14,0.00,0.00,0.00,0.36,0.00,4.56,0.00,0.14
20200506.'Of course it's scary.' - Candid Interview with COVID-19 ER Nurse and Epidemiologist.ZTbW5rVkf1g.en.txt,1,3814,36.23,73.54,37.65,45.01,3814.00,18.98,88.57,57.47,16.12,8.47,2.41,1.91,2.07,1.10,0.97,7.66,6.48,12.48,11.14,8.15,7.84,1.57,19.74,4.27,2.62,2.86,1.36,2.62,4.06,2.52,1.47,0.45,0.00,0.18,10.80,0.08,0.24,1.07,0.16,15.21,3.43,2.86,1.28,3.20,1.57,4.51,2.12,0.79,0.39,0.76,3.25,0.76,2.28,0.00,0.18,6.42,2.62,0.94,0.89,1.28,0.89,4.85,13.84,1.26,11.14,2.12,5.03,4.30,2.83,0.31,0.42,0.05,0.03,0.21,1.02,0.00,0.10,0.63,0.26,0.00,3.85,0.05,0.00,0.08,0.00,0.00,0.00,0.24,0.00,3.43,0.00,0.05
20200207.How rainbows with NO COLOR are possible.qJuhi6zn1ZY.en.txt,1,1530,69.55,52.88,58.48,61.72,1530.00,19.22,82.94,52.61,12.09,4.71,2.03,0.65,1.37,0.00,0.65,7.39,8.30,14.18,7.52,7.06,8.69,0.92,14.90,6.14,3.27,2.68,1.96,2.81,3.07,2.48,0.59,0.13,0.00,0.07,5.42,0.07,0.13,0.20,0.07,11.05,1.37,1.83,0.78,2.94,1.37,3.79,6.47,5.95,0.20,0.20,1.44,0.13,0.00,0.00,1.11,5.10,1.18,0.39,2.16,1.70,0.00,2.88,10.00,1.24,15.88,2.75,9.61,4.05,0.72,0.39,0.13,0.00,0.00,0.00,1.11,0.00,0.46,0.46,0.13,0.00,3.20,0.00,0.07,0.13,0.00,0.00,0.00,0.07,0.00,2.68,0.00,0.26
20200729.38 People on this Flight Got Sick. Why - The Science of Ventilation.NUCru4p15-4.en.txt,1,2594,69.42,74.90,53.15,50.99,1297.00,19.74,83.27,51.81,11.41,5.78,1.04,1.16,2.81,0.15,0.62,5.63,8.21,13.84,8.52,7.02,8.25,0.69,15.00,5.01,3.16,1.93,2.62,2.51,2.81,2.08,0.73,0.12,0.08,0.12,7.25,0.00,0.15,0.27,0.04,10.64,2.47,1.89,1.12,2.51,1.31,2.74,1.50,0.46,0.35,0.58,3.82,0.81,2.93,0.08,0.08,5.24,1.54,0.62,1.66,1.12,0.58,2.70,10.72,1.62,16.50,2.58,9.91,4.39,3.01,0.89,0.50,0.27,0.04,0.04,0.85,0.04,0.19,0.08,0.39,0.00,3.05,0.04,0.00,0.08,0.00,0.00,0.00,0.12,0.00,2.74,0.00,0.08
20170830.5 LIFE HACKS BASED ON SCIENCE.buVUvnM_AzU.en.txt,1,1038,56.14,70.53,69.07,39.55,1038.00,16.38,86.13,54.34,15.32,9.44,3.37,0.19,4.72,0.00,1.16,5.88,7.71,13.20,8.19,6.45,8.48,1.25,15.90,3.47,2.02,1.35,1.16,2.12,3.66,2.22,1.45,0.10,0.67,0.48,9.34,0.00,0.39,0.10,0.39,12.91,2.70,3.28,0.77,2.99,0.67,4.24,5.20,2.22,0.67,1.64,2.12,0.29,0.96,0.00,0.87,5.01,0.67,1.16,1.45,1.54,0.39,2.12,11.37,1.35,14.45,3.85,7.80,2.99,2.02,1.25,0.48,0.39,0.00,0.00,1.35,0.00,0.67,0.29,0.39,0.00,4.24,0.00,0.00,0.19,0.00,0.00,0.00,0.39,0.00,3.28,0.00,0.39
20150714.New Horizons first probe to reach pluto!.pWoUlzQvrxw.en.txt,1,956,76.41,68.84,65.10,47.01,956.00,14.85,78.14,49.48,10.56,4.18,0.42,2.72,0.73,0.00,0.31,6.38,8.89,13.08,8.37,6.49,6.49,0.94,14.33,6.07,3.24,1.78,4.71,3.24,1.99,1.57,0.42,0.10,0.00,0.10,5.33,0.00,0.21,0.00,0.10,9.62,1.67,1.88,0.94,2.41,1.88,2.41,3.24,3.03,0.10,0.10,0.73,0.52,0.00,0.00,0.21,7.43,2.93,1.26,1.15,2.09,0.10,3.87,8.58,1.78,19.77,3.14,8.79,7.95,0.52,0.42,0.00,0.00,0.10,0.00,0.73,0.10,0.10,0.10,0.42,0.00,4.18,0.00,0.10,0.21,0.00,0.00,0.00,0.21,0.00,3.66,0.00,0.00
20161201.Impossbile Zero G Skyscraper.ksmRZozo3jQ.en.txt,1,1307,69.01,78.02,77.22,37.97,1307.00,17.44,86.07,56.16,13.70,6.81,0.61,1.22,4.67,0.15,0.15,6.81,8.88,15.84,8.88,7.04,8.03,1.07,15.38,5.51,4.36,1.68,4.21,1.45,2.52,1.61,0.92,0.00,0.08,0.00,7.65,0.00,0.08,0.08,0.15,13.16,2.75,2.52,2.52,2.60,0.69,4.13,2.37,1.38,0.15,0.92,0.38,0.15,0.23,0.00,0.00,6.20,1.45,0.84,3.44,0.77,0.15,1.15,10.48,1.22,20.66,4.44,12.85,3.52,0.92,0.54,0.15,0.38,0.00,0.00,0.61,0.00,0.08,0.23,0.31,0.00,4.82,0.00,0.00,0.15,0.00,0.00,0.00,0.46,0.00,3.67,0.00,0.54
20180531.Why this trick should be IMPOSSIBLE ft. Rodney Mullen - Skateboarding Science.yFRPhi0jhGc.en.txt,1,13,65.46,77.92,1.00,99.00,13.00,23.08,84.62,15.38,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.15,0.00,46.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,38.46,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,107.69,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.31
